text,url,n,earlier_date,is_story
Question of who might succeed looms over gathering...,https://news.yahoo.com/analysis-might-succeed-pope-francis-134935891.html,3,2022-08-25,True
R. Kelly gets 30 years...,https://www.nbcnews.com/news/us-news/r-kelly-sentenced-xxx-sex-trafficking-case-rcna35832,2,2022-06-29,True
RADAR,https://radaronline.com/,258,2022-06-03,False
RAID OF THE CENTURY,https://apnews.com/article/donald-trump-mar-a-lago-fbi-search-99097089194e736315c366a0e8fbafee,3,2022-08-09,True
RAID OF THE CENTURY...,https://apnews.com/article/donald-trump-mar-a-lago-fbi-search-99097089194e736315c366a0e8fbafee,3,2022-08-10,True
RAIDERS OF THE LOOTED ASSETS: INSIDE THE HIGH-STAKES RACE TO RECOVER QADDAFI'S ILL-GOTTEN BILLIONS...,https://www.vanityfair.com/news/2022/06/the-race-to-recover-qaddafis-ill-gotten-billions,1,2022-06-09,True
REAL CLEAR POLITICS,http://realclearpolitics.com,258,2022-06-03,False
REASON,https://reason.org/,258,2022-06-03,False
RECENT HEADLINES...,http://www.drudgereportarchives.com/dsp/timeline_html.htm,258,2022-06-03,False
RECESSION 2022...,https://www.cnbc.com/2022/07/28/gdp-q2-.html,2,2022-07-28,True
RECESSION 2022:  White House insists economy strong as allies grow uneasy about Fed...,https://www.msn.com/en-us/news/politics/white-house-insists-economy-is-strong-as-allies-grow-uneasy-about-fed/ar-AA105XbV,1,2022-07-30,True
RECESSION 2022: Americans Buying More Essentials at Dollar Stores...,https://www.wsj.com/articles/dollar-store-dinners-and-vats-of-shampoo-help-families-cope-with-high-prices-11659302735,4,2022-08-01,True
RECESSION 2022: Corporations on front lines say cracks forming...,https://pokonews.com/corporations-on-the-front-lines-of-the-economy-say-cracks-are-forming-2/,3,2022-07-30,True
RECESSION 2022: Stores put SPAM behind lock and key...,https://nypost.com/2022/07/30/spam-goes-on-lockdown-due-to-inflation/,2,2022-07-31,True
"RED RISING
CHINA LAUNCHES HIGH-TECH CARRIER",https://apnews.com/article/beijing-china-shanghai-government-and-politics-6ce51d1901b3a5658cc9ef7e62b65000,2,2022-06-17,True
RED STATE SHOCK,https://www.msn.com/en-us/news/politics/kansas-rejects-constitutional-amendment-removing-the-state-level-right-to-an-abortion/ar-AA10fkvQ,4,2022-08-03,True
REFERENCE DESK,http://www.refdesk.com/,258,2022-06-03,False
REFUSES TO QUIT,https://www.thesun.co.uk/news/politics/19112602/boris-wont-resign-despite-cabinet-coup/,1,2022-07-07,True
REGAL crashing...,https://www.cnn.com/2022/08/19/media/regal-cinemas-financial-trouble/index.html,1,2022-08-19,True
RELENTLESS:  HEAT DEATHS RISE IN PHOENIX...,https://www.dailymail.co.uk/news/article-11029691/Shocking-security-camera-footage-shows-UPS-driver-Arizona-COLLAPSE-amid-dangerous-heatwave.html,2,2022-07-20,True
REMAIN IN MEXICO,https://apnews.com/article/biden-us-supreme-court-mexico-donald-trump-missouri-93496633afb7b042587890778337db67,2,2022-07-01,True
REMAINS IN ISOLATION...,https://www.msn.com/en-us/news/politics/biden-in-covid-isolation-aims-to-show-that-presidential-work-goes-on/ar-AAZRTXL,2,2022-07-23,True
REPORT:   Bob Iger's Biggest Regret -- Bob Chapek...,https://wdwnt.com/2022/07/disney-ceo-transition-did-not-go-as-bob-iger-planned/,1,2022-07-15,True
REPORT:  Armed protesters planning to descend on Mar-a-Lago...,https://www.dailymail.co.uk/news/article-11096513/Palm-Beach-police-expecting-armed-pro-Trump-protesters-descend-Mar-Lago-raid.html,3,2022-08-10,True
REPORT:  CNN WANTS 'MORNING JOE',https://radaronline.com/p/cnn-joe-scarborough-mika-brzezinski-poaching-msnbc/,1,2022-07-20,True
REPORT:  CNN WANTS 'MORNING JOE'...,https://radaronline.com/p/cnn-joe-scarborough-mika-brzezinski-poaching-msnbc/,2,2022-07-21,True
"REPORT:  Informer Revealed What Trump Docs Were Hidden, Where...",https://www.newsweek.com/exclusive-informer-told-fbi-what-docs-trump-was-hiding-where-1732283,3,2022-08-10,True
REPORT:  Queen 'struggling to stand'...,https://www.express.co.uk/news/royal/1661866/queen-health-update-scotland-Braemar-Gathering-royal-family-latest-vn,3,2022-08-29,True
"REPORT:  Russia has now lost 75,000 soldiers in war...",https://www.thesun.co.uk/news/19351750/russia-lost-soldiers-ukraine-war-disaster/,1,2022-07-28,True
REPORT: Hunter Biden could face prostitution charges...,https://www.dailymail.co.uk/news/article-10966153/Hunter-Biden-spent-30k-prostitutes-FIVE-MONTHS-documents-reveal.html,1,2022-07-12,True
REPORT: Minneapolis Will Fire 'White Teachers' First...,https://thechalkboardreview.com/report-minneapolis-will-fire-white-teachers-first/,3,2022-08-15,True
REPORT: Prince Charles charity got donation from bin Ladens...,https://www.sfgate.com/entertainment/article/Report-Prince-Charles-charity-got-donation-from-17341111.php,3,2022-07-31,True
REPORTS: 'TRUTH SOCIAL' Banning Users Who Post About Hearings...,https://variety.com/2022/digital/news/trumps-truth-social-is-banning-users-who-post-about-jan-6-hearings-according-to-reports-1235290726/,1,2022-06-12,True
REPUBLICANS FEAR MORE ASSASSINATION ATTEMPTS...,https://www.foxnews.com/politics/kavanaugh-kill-plot-republicans-2017-shooting-fear-assassination,1,2022-06-12,True
REPUBLICANS RUN ON CIVIL WAR,https://www.msn.com/en-us/news/politics/on-the-campaign-trail-many-republicans-talk-of-violence/ar-AAZTYhP,1,2022-07-24,True
REPUBLICANS RUN ON CIVIL WAR...,https://www.msn.com/en-us/news/politics/on-the-campaign-trail-many-republicans-talk-of-violence/ar-AAZTYhP,4,2022-07-25,True
RESULTS...,https://www.nbcnews.com/politics/2022-primary-elections/arizona-governor-results,6,2022-08-03,True
REUTERS,http://www.reuters.com/,258,2022-06-03,False
REUTERS POLITICS,http://www.reuters.com/news/archive/politicsNews?date=today,258,2022-06-03,False
REUTERS WORLD,http://www.reuters.com/news/archive/worldNews?date=today,258,2022-06-03,False
REUTERS journalists strike first time in decades...,https://www.axios.com/2022/08/04/reuters-strike-journalists-union,1,2022-08-05,True
REUTERS journalists strike for first time in decades...,https://www.axios.com/2022/08/04/reuters-strike-journalists-union,1,2022-08-04,True
REVEALED:  MUSK NOW HAS 9 KNOWN CHILDREN...,https://www.dailymail.co.uk/news/article-10989527/Elon-Musk-welcomed-twins-one-executives-weeks-welcomed-child-Grimes.html,2,2022-07-07,True
REVEALED:  NOW HAS 9 KNOWN CHILDREN...,https://www.dailymail.co.uk/news/article-10989527/Elon-Musk-welcomed-twins-one-executives-weeks-welcomed-child-Grimes.html,1,2022-07-08,True
REVEALED: Chinese leader asked Biden to prevent Pelosi from visiting Taiwan...,https://www.msn.com/en-us/news/world/chinese-leader-asked-biden-to-prevent-pelosi-from-visiting-taiwan/ar-AA10RyIm,2,2022-08-20,True
REVEALED: Gadget graveyard -- death dates on popular tech devices...,https://www.msn.com/en-us/news/other/gadget-graveyard-we-found-the-hidden-death-dates-on-popular-devices/ar-AA10dJl8,1,2022-08-02,True
"REVEALED: Gadget graveyard -- death dates on popular tech devices...

",https://www.msn.com/en-us/news/other/gadget-graveyard-we-found-the-hidden-death-dates-on-popular-devices/ar-AA10dJl8,1,2022-08-02,True
REVEALED: Judge reneged on promise in Polanski sex case...,https://apnews.com/article/entertainment-los-angeles-sentencing-fugitives-6aa49053e2b2908bac6baafc5cad2043,2,2022-07-18,True
REVEALED: Migrants who mow lawns for Hamptons super-rich living in woods...,https://www.dailymail.co.uk/news/article-11004015/Illegal-migrants-work-super-rich-living-squalid-hovels-Hamptons.html,1,2022-07-12,True
REVEALED: Video shows Justice Barrett secretive faith group drove women to tears...,https://www.theguardian.com/us-news/2022/aug/26/amy-coney-barrett-faith-group-people-of-praise,3,2022-08-26,True
REVIEW:  'GRAY MAN' Another Mediocre NETFLIX Mockbuster...,https://www.forbes.com/sites/scottmendelson/2022/07/14/movies-review-gray-man-ryan-gosling-chris-evans-ana-de-armas-dhanush-russos-netflix/,3,2022-07-14,True
REVIEW: Brad Pitt 'BULLET TRAIN' Shooting Nothing But Blanks...,https://www.msn.com/en-us/movies/news/brad-pitt-e2-80-99s-e2-80-98bullet-train-e2-80-99-is-shooting-nothing-but-blanks/ar-AA10e3JR,3,2022-08-02,True
REX REED,http://www.observer.com/author/rex-reed,258,2022-06-03,False
"REX REED:  'ELVIS' is shallow and disorganized...
Epic collage of images, but not a movie...",https://observer.com/2022/06/baz-luhrmann-elvis-review-austin-butler-rex-reed/,7,2022-06-24,True
REX REED:  Cronenberg 'CRIME OF FUTURE' Horrifying Garbage...,"https://observer.com/2022/06/crimes-of-the-future-review-david-cronenberg-rex-reed/
",1,2022-06-09,True
"RFK Jr. anti-vax group kicked off INSTAGRAM, FACEBOOK...",https://apnews.com/article/covid-technology-health-public-misinformation-28019177323c1d50b7ff28c522dde083,2,2022-08-18,True
RFK Jr. anti-vax group kicked off socials...,https://apnews.com/article/covid-technology-health-public-misinformation-28019177323c1d50b7ff28c522dde083,1,2022-08-19,True
RICH LOWRY,http://www.nationalreview.com/author/56473,258,2022-06-03,False
RICH RACE TO UNLOAD LUXE,https://www.vice.com/en/article/epzx5j/theres-a-recession-coming-the-tech-bloodbath-comes-for-the-luxury-housing-market,3,2022-07-22,True
RICH RACE TO UNLOAD LUXE...,https://www.vice.com/en/article/epzx5j/theres-a-recession-coming-the-tech-bloodbath-comes-for-the-luxury-housing-market,2,2022-07-23,True
RICHARD JOHNSON,https://www.nydailynews.com/author-all/richard-johnson/0/,258,2022-06-03,False
"RNC warns: If you run for president, we stop paying your legal bills...",https://abcnews.go.com/US/rnc-warning-trump-run-president-stop-paying-legal/story?id=87486985,1,2022-07-27,True
ROBINHOOD cutting 23% of jobs...,https://www.cnbc.com/2022/08/02/robinhood-cutting-about-23percent-of-jobs.html,2,2022-08-02,True
ROCK OF AGES:  McCartney's Glastonbury set divides viewers...,https://www.mirror.co.uk/3am/celebrity-news/sir-paul-mccartney-furiously-defended-27329729,4,2022-06-26,True
ROE RAGE,https://www.cnn.com/2022/06/25/us/supreme-court-overturns-roe-v-wade-saturday/index.html,4,2022-06-25,True
"ROE RAGE, TEARS AND TEAR GAS...",https://www.dailymail.co.uk/news/article-10952655/Aspiring-male-GOP-senator-Rhode-Island-SLAPS-female-rival-Roe-v-Wade-protest.html,4,2022-06-26,True
ROGAN BANS THE DON...,https://www.mediaite.com/entertainment/joe-rogan-says-hes-turned-down-multiple-offers-to-have-trump-on-his-podcast-i-dont-want-to-help-him/,3,2022-07-05,True
ROGAN CALLS TRUMP MAN BABY; SAYS WAS ON DRUGS IN WHITE HOUSE...,https://www.mediaite.com/entertainment/joe-rogan-calls-donald-trump-a-man-baby-theorizes-he-was-on-adderall-during-his-presidency/,2,2022-07-19,True
ROGAN CRITICIZED FOR SAYING 'GO SHOOT HOMELESS'...,https://variety.com/2022/digital/news/joe-rogan-homeless-controversy-1235318314/,3,2022-07-20,True
ROGAN CRITICIZED FOR SAYING 'GO SHOOT THE HOMELESS PEOPLE'...,https://variety.com/2022/digital/news/joe-rogan-homeless-controversy-1235318314/,1,2022-07-19,True
ROGAN ENDORSES...,https://www.mediaite.com/entertainment/joe-rogan-jumps-aboard-the-desantis-2024-train-he-would-work-as-a-good-president/,9,2022-06-29,True
ROGAN:  Epstein may have been CIA or Mossad spy...,https://nypost.com/2022/08/01/joe-rogan-jeffrey-epstein-may-have-been-cia-or-mossad-spy/,3,2022-08-02,True
ROGER FRIEDMAN,http://www.showbiz411.com,258,2022-06-03,False
ROLL CALL,http://www.rollcall.com/,258,2022-06-03,False
ROLLING STONE,http://www.rollingstone.com,258,2022-06-03,False
ROMNEY WARNS NATION AT RISK,https://www.theatlantic.com/ideas/archive/2022/07/mitt-romney-republican-denial-biden-election/661468/,4,2022-07-04,True
ROMNEY:    NATION AT RISK...,https://www.theatlantic.com/ideas/archive/2022/07/mitt-romney-republican-denial-biden-election/661468/,3,2022-07-05,True
ROTTEN APPLE:  NYC ODOR COMPLAINTS HIT ALL-TIME HIGH...,https://www.fox5ny.com/news/has-the-big-apple-gone-rotten-odor-complaints-in-nyc-hit-all-time-high,1,2022-07-19,True
ROTTEN APPLE: NYC ODOR COMPLAINTS HIT ALL-TIME HIGH...,https://www.fox5ny.com/news/has-the-big-apple-gone-rotten-odor-complaints-in-nyc-hit-all-time-high,1,2022-07-19,True
ROTTEN APPLE: ODOR COMPLAINTS HIT ALL-TIME HIGH...,https://www.fox5ny.com/news/has-the-big-apple-gone-rotten-odor-complaints-in-nyc-hit-all-time-high,1,2022-07-19,True
ROUBINI:  Severe financial crisis looms...,https://www.msn.com/en-us/money/markets/nouriel-roubini-says-predictions-for-a-mild-recession-are-delusional-as-severe-financial-crisis-looms/ar-AAZXVZu,3,2022-07-25,True
ROUNDUP found in 80% of urine samples...,https://www.dailymail.co.uk/news/article-11006431/Weedkiller-ingredient-used-notorious-Roundup-80-urine-samples.html,2,2022-07-13,True
ROVE: Secret Service mole...,https://www.dailymail.co.uk/news/article-11152055/Ex-Bush-Chief-Staff-says-Secret-Service-mole-Mar-Lago-reported-Trump.html,1,2022-08-29,True
ROVE: Secret Service mole?,https://www.dailymail.co.uk/news/article-11152055/Ex-Bush-Chief-Staff-says-Secret-Service-mole-Mar-Lago-reported-Trump.html,5,2022-08-27,True
ROVE: Where Do Trump Donations Go?,https://www.wsj.com/articles/where-do-trumps-donations-go-pacs-independent-expenditures-campaign-finance-elections-ohio-georgia-midterms-2024-11658953140,2,2022-07-28,True
RUBIO IN DANGER?,https://thehill.com/homenews/campaign/3603940-demings-up-by-4-points-in-challenge-to-rubio-poll/,2,2022-08-16,True
RUSSIAN MISSILE HITS PASSENGER TRAIN,https://news.yahoo.com/russian-attack-kills-22-civilians-003747288.html,3,2022-08-25,True
Rabbi says entered synagogue on Passover...,https://www.timesofisrael.com/chabad-rabbi-says-alleged-july-4-shooter-entered-his-synagogue-on-passover/,3,2022-07-06,True
Rabbi suit over FL law tests bounds of religious objections...,https://www.msn.com/en-us/news/us/rabbi-s-suit-over-florida-abortion-law-tests-bounds-of-religious-objections-after-roe/ar-AAYZYTH,3,2022-06-29,True
Rabbit rescue president charged after authorities find 47 dead bunnies in barn...,https://www.startribune.com/rabbit-rescue-president-faces-felonies-after-authorities-find-47-dead-bunnies-in-savage/600187844/,2,2022-07-06,True
Race That Turned on Abortion...,https://dnyuz.com/2022/08/24/democrat-pat-ryan-wins-in-house-race-that-turned-on-abortion/,3,2022-08-24,True
"Race for Alaska seat so packed, even Santa Claus running!",https://www.msn.com/en-us/news/politics/the-race-for-one-alaska-seat-is-so-packed-even-santa-claus-is-running/ar-AAYeGWa,1,2022-06-10,True
Race to Expand Coalition Against Russia Meets Resistance...,https://dnyuz.com/2022/06/11/biden-races-to-expand-coalition-against-russia-but-meets-resistance/,2,2022-06-11,True
Race to Replace Boris Intensifies...,https://www.msn.com/en-us/news/world/race-to-replace-johnson-intensifies-as-liz-truss-announces-bid/ar-AAZqFfN,5,2022-07-11,True
Radiation leak fears...,https://www.the-sun.com/news/6090810/radiation-leak-fears-ukraine-nuclear-power-plant/,3,2022-08-27,True
Radiation tablets handed out near nuke plant as leak fears mount...,https://www.nbcnews.com/news/world/russia-ukraine-war-zaporizhzhia-nuclear-plant-radiation-fears-iodine-rcna45041,2,2022-08-26,True
"Rainwater no longer safe to drink anywhere on Earth, scientists say...",https://www.euronews.com/green/2022/08/04/rainwater-everywhere-on-earth-unsafe-to-drink-due-to-forever-chemicals-study-finds,2,2022-08-09,True
"Rainwater no longer safe to drink anywhere, scientists say...",https://www.euronews.com/green/2022/08/04/rainwater-everywhere-on-earth-unsafe-to-drink-due-to-forever-chemicals-study-finds,1,2022-08-10,True
Rakes in millions off Mar-a-Lago search...,https://www.msn.com/en-us/news/politics/trump-rakes-in-millions-off-fbi-search-at-mar-a-lago/ar-AA10Md2Q,3,2022-08-18,True
Rallying Dollar Exception to Lousy Quarter...,https://www.wsj.com/articles/it-was-a-lousy-second-quarterexcept-for-the-u-s-dollar-11656667800,4,2022-07-01,True
Rand Paul pushes for oversight of research he says could unleash next pandemic...,https://www.mcclatchydc.com/news/politics-government/article264151666.html,3,2022-08-05,True
"Rap fans put hot peppers in privates, playfight with sex toys...",https://www.the-sun.com/news/5941364/gathering-juggalos-festival-insane-clown-posse-faygo/,2,2022-08-07,True
Rapid eye movements during sleep NOT random...,https://www.dailymail.co.uk/sciencetech/article-11150497/Rapid-eye-movements-looking-dream-world-brain-creates-study-reveals.html,4,2022-08-26,True
Rapper Killed Minutes After Taunting Enemies on INSTAGRAM...,https://urbanhollywood411.com/rapper-rollie-bands-killed-after-instagram-taunt/,2,2022-07-26,True
Rapper Killed Minutes After Taunting His Enemies on INSTAGRAM...,https://urbanhollywood411.com/rapper-rollie-bands-killed-after-instagram-taunt/,1,2022-07-26,True
Rapper arrested after Miami jet ski chase...,https://www.fox5ny.com/news/florida-rapper-arrested-jet-ski-chase,6,2022-06-29,True
Rare 3.9 maq quake jolts Georgia...,https://www.wyff4.com/article/earthquake-reported-georgia/40328921#,5,2022-06-18,True
Rare Rainbow 'Scarf' Cloud Stuns...,https://www.ndtv.com/offbeat/viral-video-rare-rainbow-scarf-cloud-stuns-people-in-china-3299272,3,2022-08-30,True
"Rare autoimmune disorder left him unable to see, hear or walk...",https://www.dailymail.co.uk/tvshowbiz/article-11092441/Ashton-Kutcher-lucky-alive-rare-autoimmune-disorder-left-unable-hear-walk.html,2,2022-08-09,True
Rare clouds that glow in dark most vibrant in 15 years...,https://www.msn.com/en-us/weather/topstories/rare-clouds-that-glow-in-the-dark-are-the-most-vibrant-in-15-years/ar-AAZ5Nks,1,2022-07-02,True
Rare clouds that glow in dark most vibrant in 15 years...,https://www.spokesman.com/stories/2022/jul/01/rare-clouds-that-glow-in-the-dark-are-the-most-vib/,5,2022-07-03,True
"Rare tornadoes strike desert Southwest, touching down in AZ, NV...",https://www.msn.com/en-us/weather/topstories/rare-tornadoes-strike-desert-southwest-touching-down-in-arizona-nevada/ar-AA10WOOR,1,2022-08-23,True
Rare twin giraffes born in Kenya...,https://news.yahoo.com/rare-twin-giraffes-born-kenya-100244539.html,3,2022-07-19,True
Raspy-voiced -- declares feels 'better than I sound'...,https://buffalonews.com/lifestyles/health-med-fit/raspy-voiced-biden-declares-he-feels-better-than-i-sound/article_28939327-6c00-5920-850e-0ea5e3d857d8.html,1,2022-07-23,True
"Reagan Library Erupts in Applause at Cheney Evisceration of Trump; Standing ovation...
VIDEO...",https://www.mediaite.com/news/liz-cheney-blasts-trump-over-jan-6-in-blistering-reagan-library-speech-praises-courage-of-bombshell-witness-cassidy-hutchinson/,3,2022-07-01,True
Real estate firms announce layoffs...,https://www.cnbc.com/2022/06/14/real-estate-firms-compass-and-redfin-announce-layoffs-as-housing-market-slows.html,1,2022-06-14,True
Real estate layoffs...,https://www.cnbc.com/2022/06/14/real-estate-firms-compass-and-redfin-announce-layoffs-as-housing-market-slows.html,1,2022-06-15,True
Reality TV Getting Increasingly Apocalyptic...,https://www.theringer.com/tv/2022/6/3/23152399/apocalyptic-reality-tv-masked-singer-circle-floor-is-lava,1,2022-06-03,True
Reality intrudes...,https://apnews.com/article/inflation-jackson-wyoming-4ab8b3d8fdbcf3a783af334fd251d0bf,3,2022-08-25,True
Reanimate dead cells in pigs...,https://www.nbcnews.com/science/science-news/scientists-reanimate-dead-cells-pigs-potential-breakthrough-organ-tran-rcna41014,1,2022-08-03,True
Rebound even in people who haven't taken Paxlovid...,https://www.nbcnews.com/health/health-news/covid-can-rebound-even-people-havent-taken-paxlovid-study-finds-rcna41218,1,2022-08-03,True
Rebound seen even in people who haven't taken Paxlovid...,https://www.nbcnews.com/health/health-news/covid-can-rebound-even-people-havent-taken-paxlovid-study-finds-rcna41218,1,2022-08-04,True
Receives personal threat...,https://nypost.com/2022/06/20/gop-rep-kinzinger-receives-chilling-threat-against-him-and-his-family/,3,2022-06-20,True
Recession Fears Surge Among CEOs...,https://www.wsj.com/articles/recession-fears-surge-among-ceos-survey-suggests-11655458200,4,2022-06-17,True
Recession talk surges in Washington...,https://www.politico.com/news/2022/07/04/recession-talk-surges-in-washington-00043818,5,2022-07-04,True
"Record Crop of TV Shows in 2022 Will Be the Peak, FX Chief Predicts...",https://deadline.com/2022/08/fxs-john-landgraf-predicts-2022-will-finally-see-scripted-tv-peak-1235083716/,3,2022-08-03,True
Record heat makes comeback in north-central...,https://www.accuweather.com/en/weather-forecasts/extreme-record-challenging-heat-to-make-a-comeback-in-north-central-us/1203275,10,2022-06-18,True
Record number travelers to hit roads for July 4...,https://finance.yahoo.com/news/record-number-travelers-hit-u-040639702.html,1,2022-06-21,True
Record numbers to hit roads for July 4...,https://finance.yahoo.com/news/record-number-travelers-hit-u-040639702.html,3,2022-06-21,True
Record-low say Bible is literal word of God...,https://news.gallup.com/poll/394262/fewer-bible-literal-word-god.aspx,4,2022-07-06,True
Red States Winning Post-Pandemic Economy...,https://www.wsj.com/articles/red-states-winning-post-pandemic-economy-migration-11657030536,2,2022-07-05,True
Red states building nation within nation...,https://www.cnn.com/2022/07/26/politics/red-states-blue-states-control-of-national-policy-fault-lines/,1,2022-07-27,True
"Red wave? In Senate races, McConnell curbing enthusiasm...",https://www.timesleader.com/news/1569282/red-wave-in-2022-senate-races-mcconnell-seems-to-be-curbing-his-enthusiasm,2,2022-08-10,True
"Red wave? In Senate races, McConnell curbs enthusiasm...",https://www.timesleader.com/news/1569282/red-wave-in-2022-senate-races-mcconnell-seems-to-be-curbing-his-enthusiasm,1,2022-08-11,True
Redistricting battle further positions DeSantis for run...,https://thehill.com/opinion/campaign/3540717-redistricting-battle-further-positions-desantis-for-2024-presidential-bid/,8,2022-06-29,True
Reinfection in just 4 weeks?,https://www.the-sun.com/health/5748412/new-covid-variant-warning-strain-triggers-rapid-reinfections/,4,2022-07-11,True
Releases Video...,https://www.mediaite.com/biden/keeping-busy-biden-tweets-photo-says-hes-doing-great-in-first-public-update-after-covid-diagnosis/,2,2022-07-22,True
"Relief, disappointment as mogul abandons deal...",https://news.yahoo.com/relief-disappointment-musk-abandons-twitter-181007374.html,5,2022-07-10,True
Remote Mine Could Foretell Future of Electric Car Industry...,https://dnyuz.com/2022/08/30/this-remote-mine-could-foretell-the-future-of-americas-electric-car-industry/,3,2022-08-30,True
Remote work worse for wellbeing?,https://www.bbc.com/worklife/article/20220616-is-remote-work-worse-for-wellbeing-than-people-think,3,2022-06-17,True
Renters faced with difficult choices as prices skyrocket to all-time highs...,https://komonews.com/news/nation-world/rental-prices-at-all-time-highs-as-cooler-real-estate-market-brings-fuels-supply-shortage-housing-landlords-tenants-evictions-inflation-zoning-construction-starts,1,2022-08-16,True
Rents Rise at Fastest Pace in 40 Years...,https://finance.yahoo.com/news/rents-us-rise-fastest-pace-161957394.html,3,2022-07-14,True
Rents Rise at Fastest Pace in Nearly 40 Years...,https://finance.yahoo.com/news/rents-us-rise-fastest-pace-161957394.html,1,2022-07-14,True
Rep calls on voters to switch parties to support...,https://www.msn.com/en-us/news/politics/minnesota-rep-dean-phillips-urges-fellow-democrats-independents-in-wyoming-to-back-liz-cheney-in-primary/ar-AA10xqOc,3,2022-08-11,True
"Rep. Omar booed, told to 'get f*ck out' at Minnesota concert appearance...",https://nypost.com/2022/07/04/rep-ilhan-omar-booed-at-minnesota-concert-appearance/,5,2022-07-04,True
Rep. Tells NYTIMES 'Off the Record' Biden Not Running in '24...,https://www.mediaite.com/print/oops-rep-maloney-tells-ny-times-off-the-record-biden-is-not-running-in-2024-in-on-the-record-interview/,2,2022-08-15,True
Rep. blames supporters for office damage...,https://apnews.com/article/abortion-politics-health-vandalism-campaigns-f3054808949053e5488a8fabb3259787,1,2022-06-24,True
Rep. thanks Trump:  'Victory for white life'...,https://www.nbcnews.com/politics/politics-news/rep-miller-thanks-trump-victory-white-life-campaign-says-misread-remar-rcna35359,2,2022-06-26,True
Rep. who voted to impeach wins primary...,https://www.npr.org/sections/2022-live-primary-election-race-results/2022/08/05/1115322585/herrera-beutler-washington-primary-results,6,2022-08-06,True
Report Reveals Sharp Rise in Trans Kids...,https://dnyuz.com/2022/06/10/report-reveals-sharp-rise-in-transgender-young-people-in-the-u-s/,1,2022-06-11,True
Report Reveals Sharp Rise in Trans Youth...,https://dnyuz.com/2022/06/10/report-reveals-sharp-rise-in-transgender-young-people-in-the-u-s/,1,2022-06-12,True
Report: Ukrainian bases in communities endangering civilians...,https://apnews.com/article/russia-ukraine-donetsk-amnesty-international-7eb46d7e7cd2205403f7bf45ad7122cc,3,2022-08-04,True
Reporter barred from Alabama execution for 'too short' skirt...,https://nypost.com/2022/07/29/ivana-shatara-barred-from-alabama-execution-for-short-skirt/,2,2022-07-30,True
Republican Feuding and Chaos Endanger Chances in Michigan...,https://dnyuz.com/2022/07/30/g-o-p-feuding-and-chaos-endanger-the-partys-chances-in-michigan/,5,2022-07-30,True
"Republican Govs Bus Immigrants to Blue Cities, but Many Exit in Red States...",https://www.pewtrusts.org/en/research-and-analysis/blogs/stateline/2022/08/23/gop-governors-bus-migrants-to-blue-cities-but-many-exit-in-red-states,2,2022-08-24,True
Republican Govs Cause Havoc Busing Migrants to East Coast...,https://dnyuz.com/2022/08/04/g-o-p-governors-cause-havoc-by-busing-migrants-to-east-coast/,1,2022-08-04,True
Republican Worst-Case Scenario...,https://www.newsweek.com/republican-midterms-november-house-senate-donald-trump-1723010,2,2022-07-11,True
Republican center mounts comeback...,https://www.politico.com/news/2022/08/09/gop-allan-fung-trump-new-england-00050344,2,2022-08-09,True
Republican contest crucial to Senate control...,https://apnews.com/article/june-14-primaries-live-updates-304e8b31fc1531061014456c5415791f,1,2022-06-14,True
"Republican lawmaker opposed same-sex marriage, then went to gay son's wedding...",https://www.msn.com/en-us/news/us/gop-lawmaker-opposed-same-sex-marriage-then-went-to-gay-son-e2-80-99s-wedding/ar-AAZYUHW,2,2022-07-26,True
Republican member of Jan. 6 committee warns more violence coming...,https://www.msn.com/en-us/news/politics/gop-member-of-jan-6-committee-warns-that-more-violence-is-coming/ar-AAYDGhF,4,2022-06-20,True
Republican member of Jan. 6 committee warns that more violence coming...,https://www.msn.com/en-us/news/politics/gop-member-of-jan-6-committee-warns-that-more-violence-is-coming/ar-AAYDGhF?ocid=uxbndlbing,2,2022-06-20,True
Republican nominee Vance asking donors to pay his debts...,https://rollcall.com/2022/07/19/ohio-senate-candidate-vance-asking-donors-to-help-pay-debts/,3,2022-07-20,True
Republican prospects narrow in House...,https://www.msn.com/en-us/news/politics/gop-prospects-narrow-in-house-as-democrats-overperform-in-early-contests/ar-AA113Wld,1,2022-08-25,True
Republicans Begin Adjusting to Fierce Backlash...,https://dnyuz.com/2022/08/05/republicans-begin-adjusting-to-a-fierce-abortion-backlash/,3,2022-08-05,True
Republicans Blowing 'Red Tsunami'?,https://www.vice.com/en/article/epzvej/democrats-midterms-gop-dr-oz,2,2022-08-18,False
Republicans Still Favored but Outlook Tightens...,https://www.cbsnews.com/news/gop-house-seat-lead-biden-approval-opinion-poll-2022-08-28/,3,2022-08-28,True
Republicans brace for impact...,https://www.politico.com/news/2022/06/25/the-dog-that-caught-the-car-republicans-brace-for-the-impact-of-reversing-roe-00042387,2,2022-06-26,True
"Republicans cancel ad buys in Arizona, Alaska...",https://www.politico.com/news/2022/08/26/shifting-strategy-senate-gop-super-pac-cancels-ad-buys-in-arizona-alaska-00053965,2,2022-08-26,True
Republicans fear abortion backlash after Indiana child rape case...,https://www.politico.com/news/2022/07/15/republicans-fear-abortion-backlash-00046005,3,2022-07-15,True
Republicans fear abortion backlash...,https://www.politico.com/news/2022/07/15/republicans-fear-abortion-backlash-00046005,1,2022-07-16,True
Republicans forced into strained defense...,https://www.politico.com/news/2022/08/30/trump-forces-republicans-off-script-again-00054121,3,2022-08-30,True
